CRN,Class Name,Building,long,lat,Size,start,end,mon,tues,wed,thur,fri
89338,CS 1332 C,Clough UG Learning Commons 152,33.774909,-84.396404,277,12,14,True,False,True,False,False
82545,CS 1332 GR,Instructional Center 103,33.775587,-84.401213,10,9,10,True,False,True,False,True
88377,CS 1332 O1,Clough UG Learning Commons 152,33.774909,-84.396404,197,17,18,False,False,True,False,False
91396,CS 1332R A01,Bunger-Henry 380,33.775803,-84.398189,49,17,18,False,True,False,False,False
91397,CS 1332R A02,Klaus Advanced Computing 2456,33.777107,-84.395817,50,17,18,False,True,False,False,False
91398,CS 1332R A03,Whitaker 1103,33.778513,-84.396825,50,17,18,False,True,False,False,False
91399,CS 1332R A04,Molecular Sciences and Engr 1222,33.779836,-84.396666,50,18,20,False,True,False,False,False
91400,CS 1332R A05,Skiles 202,33.773568,-84.395957,33,18,20,False,True,False,False,False
93730,CS 1332R A06,Instructional Center 109,33.775587,-84.401213,17,18,20,False,True,False,False,False
91403,CS 1332R B02,Mason 5134,33.776764,-84.39844,50,17,18,False,True,False,False,False
91404,CS 1332R B03,Bunger-Henry 380,33.775803,-84.398189,49,18,20,False,True,False,False,False
91405,CS 1332R B04,Whitaker 1103,33.778513,-84.396825,22,18,20,False,True,False,False,False
93731,CS 1332R B05,Instructional Center 215,33.775587,-84.401213,36,17,18,False,True,False,False,False
91406,CS 1332R C01,Instructional Center 109,33.775587,-84.401213,50,17,18,False,True,False,False,False
91407,CS 1332R C02,Scheller College of Business 201,33.776533,-84.387765,50,17,18,False,True,False,False,False
91408,CS 1332R C03,Skiles 249,33.773568,-84.395957,50,17,18,False,True,False,False,False
91409,CS 1332R C04,Kendeda 210,33.778759,-84.399597,50,18,20,False,True,False,False,False
93733,CS 1332R C05,Instructional Center 115,33.775587,-84.401213,50,18,20,False,True,False,False,False
93734,CS 1332R C06,Instructional Center 205,33.775587,-84.401213,4,18,20,False,True,False,False,False
91401,CS 1332R GR1,Skiles 202,33.773568,-84.395957,8,18,20,False,True,False,False,False
91410,CS 1332R OR1,Howey Physics L1,33.777622,-84.398785,112,17,18,False,True,False,False,False
81436,CS 1371 A,Clough UG Learning Commons 152,33.774909,-84.396404,262,9,10,True,False,True,False,True
85941,CS 1371 C,Scheller College of Business 100,33.776533,-84.387765,261,14,15,True,False,True,False,True
92489,CS 1371 D,Kendeda 152,33.778759,-84.399597,141,15,16,True,False,True,False,True
91136,CS 1371 GR,Kendeda 152,33.778759,-84.399597,0,15,16,True,False,True,False,True
81437,CS 1371 HP,Kendeda 152,33.778759,-84.399597,35,15,16,True,False,True,False,True
91411,CS 1371R A01,East Architecture 207,33.776177,-84.395459,50,17,18,False,False,True,False,False
91412,CS 1371R A02,Whitaker 1103,33.778513,-84.396825,50,17,18,False,False,False,True,False
91413,CS 1371R A03,Scheller College of Business 102,33.776533,-84.387765,26,17,18,False,False,True,False,False
91414,CS 1371R A04,Van Leer E283,33.776065,-84.397116,32,18,20,False,False,False,True,False
91415,CS 1371R A05,Molecular Sciences and Engr 1222,33.779836,-84.396666,5,18,20,False,False,False,True,False
93735,CS 1371R A06,Instructional Center 209,33.775587,-84.401213,9,18,20,False,False,True,False,False
91422,CS 1371R C01,Bunger-Henry 380,33.775803,-84.398189,50,17,18,False,False,True,False,False
91423,CS 1371R C02,Mason 5134,33.776764,-84.39844,50,17,18,False,False,False,True,False
91424,CS 1371R C03,Whitaker 1103,33.778513,-84.396825,50,18,20,False,False,False,True,False
91425,CS 1371R C04,East Architecture 207,33.776177,-84.395459,15,18,20,False,False,True,False,False
91426,CS 1371R C05,Whitaker 1103,33.778513,-84.396825,28,17,18,False,False,True,False,False
93643,CS 1371R C06,Manufacture Rel Discip Complex 2407,33.777187,-84.400484,25,17,18,False,True,False,False,False
92490,CS 1371R D01,Instructional Center 109,33.775587,-84.401213,35,17,18,False,False,False,True,False
92491,CS 1371R D02,Kendeda 210,33.778759,-84.399597,11,18,20,False,False,False,True,False
92492,CS 1371R D03,Kendeda 210,33.778759,-84.399597,36,17,18,False,False,True,False,False
92493,CS 1371R D04,Van Leer E283,33.776065,-84.397116,4,18,20,False,False,True,False,False
91427,CS 1371R GR1,Whitaker 1103,33.778513,-84.396825,0,17,18,False,False,True,False,False
91428,CS 1371R HP1,Skiles 249,33.773568,-84.395957,19,17,18,False,False,False,True,False
83729,CS 2050 A,Clough UG Learning Commons 152,33.774909,-84.396404,295,14,15,False,True,False,True,False
83730,CS 2050 B,Clough UG Learning Commons 144,33.774909,-84.396404,295,15,17,False,True,False,True,False
91246,CS 2050 GR,Clough UG Learning Commons 152,33.774909,-84.396404,0,14,15,False,True,False,True,False
91430,CS 2050R A01,Howey Physics L5,33.777622,-84.398785,49,17,18,False,False,True,False,False
91433,CS 2050R A03,Mason 5134,33.776764,-84.39844,50,18,20,False,False,True,False,False
91434,CS 2050R A04,Molecular Sciences and Engr 1222,33.779836,-84.396666,25,18,20,False,False,True,False,False
92723,CS 2050R A05,Instructional Center 109,33.775587,-84.401213,50,17,18,False,False,True,False,False
93736,CS 2050R A06,Instructional Center 215,33.775587,-84.401213,11,18,20,False,False,True,False,False
91435,CS 2050R B01,Skiles 249,33.773568,-84.395957,50,17,18,False,False,True,False,False
91436,CS 2050R B02,Instructional Center 105,33.775587,-84.401213,50,18,20,False,False,True,False,False
91437,CS 2050R B03,Mason 3133,33.776764,-84.39844,47,18,20,False,False,True,False,False
91438,CS 2050R B04,Mason 2117,33.776764,-84.39844,18,18,20,False,False,True,False,False
92724,CS 2050R B05,Scheller College of Business 101,33.776533,-84.387765,50,17,18,False,False,True,False,False
93737,CS 2050R B06,Van Leer C340,33.776065,-84.397116,7,18,20,False,False,True,False,False
83167,CS 2110 A,Scheller College of Business 100,33.776533,-84.387765,340,12,14,False,True,False,True,False
